"uri.URI","type.Type","name.Nom","geometry.geometry","rdfs.comment.Description","vocabulary.hasCreationDate.Date.de.création","vocabulary.hasDestructionDate.Date.de.destruction","vocabulary.hasFactorLevel.Modalité.de.facteur","vocabulary.hasGermplasm.Matériel.génétique","vocabulary.isHosted.Est.accueillie","vocabulary.isPartOf.Est.une.partie.de","NA.NA","NA.NA.1","NA.NA.2"
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/156","vocabulary:SubPlot",156,"LINESTRING (0.417218 44.3327838, 0.417305 44.3328374)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/157","vocabulary:SubPlot",157,"LINESTRING (0.4166873 44.3323855, 0.4167743 44.3324391)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/158","vocabulary:SubPlot",158,"LINESTRING (0.4168033 44.332457, 0.4168903 44.3325106)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/159","vocabulary:SubPlot",159,"LINESTRING (0.4169193 44.3325285, 0.4170062 44.3325822)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/16","vocabulary:SubPlot",16,"LINESTRING (0.4159081 44.3323299, 0.4159941 44.3323832)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/160","vocabulary:SubPlot",160,"LINESTRING (0.4170352 44.3326, 0.4171222 44.3326537)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/161","vocabulary:SubPlot",161,"LINESTRING (0.4171512 44.3326715, 0.4172382 44.3327252)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/162","vocabulary:SubPlot",162,"LINESTRING (0.4172672 44.3327431, 0.4173542 44.3327967)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/163","vocabulary:SubPlot",163,"LINESTRING (0.4167365 44.3323447, 0.4168235 44.3323984)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/164","vocabulary:SubPlot",164,"LINESTRING (0.4168525 44.3324163, 0.4169395 44.3324699)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/165","vocabulary:SubPlot",165,"LINESTRING (0.4169685 44.3324878, 0.4170555 44.3325414)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/166","vocabulary:SubPlot",166,"LINESTRING (0.4170845 44.3325593, 0.4171715 44.3326129)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/167","vocabulary:SubPlot",167,"LINESTRING (0.4172005 44.3326308, 0.4172874 44.3326844)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/168","vocabulary:SubPlot",168,"LINESTRING (0.4173164 44.3327023, 0.4174034 44.3327559)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : mic
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/169","vocabulary:SubPlot",169,"LINESTRING (0.4167857 44.332304, 0.4168727 44.3323576)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/17","vocabulary:SubPlot",17,"LINESTRING (0.4160227 44.3324009, 0.4161087 44.3324541)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/170","vocabulary:SubPlot",170,"LINESTRING (0.4169017 44.3323755, 0.4169887 44.3324291)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/171","vocabulary:SubPlot",171,"LINESTRING (0.4170177 44.332447, 0.4171047 44.3325006)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/172","vocabulary:SubPlot",172,"LINESTRING (0.4171337 44.3325185, 0.4172207 44.3325721)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/173","vocabulary:SubPlot",173,"LINESTRING (0.4172497 44.33259, 0.4173367 44.3326436)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/174","vocabulary:SubPlot",174,"LINESTRING (0.4173657 44.3326615, 0.4174526 44.3327152)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/175","vocabulary:SubPlot",175,"LINESTRING (0.4168349 44.3322632, 0.4169219 44.3323168)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/176","vocabulary:SubPlot",176,"LINESTRING (0.4169509 44.3323347, 0.4170379 44.3323884)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/177","vocabulary:SubPlot",177,"LINESTRING (0.4170669 44.3324062, 0.4171539 44.3324599)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/178","vocabulary:SubPlot",178,"LINESTRING (0.4171829 44.3324777, 0.4172699 44.3325314)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/179","vocabulary:SubPlot",179,"LINESTRING (0.4172989 44.3325493, 0.4173859 44.3326029)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/18","vocabulary:SubPlot",18,"LINESTRING (0.4161373 44.3324718, 0.4162232 44.332525)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/180","vocabulary:SubPlot",180,"LINESTRING (0.4174149 44.3326208, 0.4175019 44.3326744)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/181","vocabulary:SubPlot",181,"LINESTRING (0.4168842 44.3322225, 0.4169712 44.3322761)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 4-1 Variété : Spu
Porte-Greffe : Ish
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.ferti-irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/182","vocabulary:SubPlot",182,"LINESTRING (0.4170001 44.332294, 0.4170871 44.3323476)","Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 8-5 Variété : Spu
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/183","vocabulary:SubPlot",183,"LINESTRING (0.4171161 44.3323655, 0.4172031 44.3324191)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 12-9 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/184","vocabulary:SubPlot",184,"LINESTRING (0.4172321 44.332437, 0.4173191 44.3324906)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/185","vocabulary:SubPlot",185,"LINESTRING (0.4173481 44.3325085, 0.4174351 44.3325621)","Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 20-17 Variété : 2733
Porte-Greffe : myro
Fertilisation : organique
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 2
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
